,,,-1.9760001E-3,0.0,,,,,-1.9760001E-3,0.0,
,,,-1.9740001E-3,0.0,,,,,-1.9740001E-3,0.0,
,,,-1.9720001E-3,0.0,,,,,-1.9720001E-3,79.999998212E-3,
,,,-1.9700001E-3,0.0,,,,,-1.9700001E-3,79.999998212E-3,
,,,-1.9680001E-3,0.0,,,,,-1.9680001E-3,79.999998212E-3,
,,,-1.9660001E-3,0.0,,,,,-1.9660001E-3,79.999998212E-3,
,,,-1.9640001E-3,0.0,,,,,-1.9640001E-3,79.999998212E-3,
,,,-1.9620003E-3,0.0,,,,,-1.9620003E-3,0.0,
,,,-1.9600003E-3,79.999998212E-3,,,,,-1.9600003E-3,0.0,
,,,-1.9580002E-3,79.999998212E-3,,,,,-1.9580002E-3,0.0,
,,,-1.9560002E-3,0.0,,,,,-1.9560002E-3,0.0,
,,,-1.9540002E-3,0.0,,,,,-1.9540002E-3,79.999998212E-3,
,,,-1.9520002E-3,0.0,,,,,-1.9520002E-3,0.0,
,,,-1.9500002E-3,79.999998212E-3,,,,,-1.9500002E-3,79.999998212E-3,
,,,-1.9480002E-3,0.0,,,,,-1.9480002E-3,79.999998212E-3,
,,,-1.9460001E-3,0.0,,,,,-1.9460001E-3,0.0,
,,,-1.9440001E-3,0.0,,,,,-1.9440001E-3,79.999998212E-3,
,,,-1.9420001E-3,0.0,,,,,-1.9420001E-3,0.0,
,,,-1.9400001E-3,0.0,,,,,-1.9400001E-3,0.0,
,,,-1.9380002E-3,0.0,,,,,-1.9380002E-3,79.999998212E-3,
,,,-1.9360002E-3,0.0,,,,,-1.9360002E-3,0.0,
,,,-1.9340002E-3,0.0,,,,,-1.9340002E-3,0.0,
,,,-1.9320002E-3,0.0,,,,,-1.9320002E-3,0.0,
,,,-1.9300001E-3,79.999998212E-3,,,,,-1.9300001E-3,0.0,
,,,-1.9280001E-3,0.0,,,,,-1.9280001E-3,79.999998212E-3,
,,,-1.9260001E-3,79.999998212E-3,,,,,-1.9260001E-3,79.999998212E-3,
,,,-1.9240002E-3,0.0,,,,,-1.9240002E-3,0.0,
,,,-1.9220002E-3,0.0,,,,,-1.9220002E-3,79.999998212E-3,
,,,-1.9200002E-3,0.0,,,,,-1.9200002E-3,79.999998212E-3,
,,,-1.9180002E-3,0.0,,,,,-1.9180002E-3,79.999998212E-3,
,,,-1.9160002E-3,0.0,,,,,-1.9160002E-3,0.0,
,,,-1.9140001E-3,0.0,,,,,-1.9140001E-3,79.999998212E-3,
,,,-1.9120001E-3,0.0,,,,,-1.9120001E-3,79.999998212E-3,
,,,-1.9100001E-3,0.0,,,,,-1.9100001E-3,0.0,
,,,-1.9080002E-3,-79.999998212E-3,,,,,-1.9080002E-3,0.0,
,,,-1.9060002E-3,0.0,,,,,-1.9060002E-3,79.999998212E-3,
,,,-1.9040002E-3,0.0,,,,,-1.9040002E-3,79.999998212E-3,
,,,-1.9020002E-3,0.0,,,,,-1.9020002E-3,0.0,
,,,-1.9000001E-3,0.0,,,,,-1.9000001E-3,79.999998212E-3,
,,,-1.8980001E-3,0.0,,,,,-1.8980001E-3,79.999998212E-3,
,,,-1.8960001E-3,0.0,,,,,-1.8960001E-3,79.999998212E-3,
,,,-1.8940001E-3,79.999998212E-3,,,,,-1.8940001E-3,79.999998212E-3,
,,,-1.8920002E-3,0.0,,,,,-1.8920002E-3,79.999998212E-3,
,,,-1.8900002E-3,0.0,,,,,-1.8900002E-3,0.0,
,,,-1.8880002E-3,0.0,,,,,-1.8880002E-3,0.0,
,,,-1.8860002E-3,0.0,,,,,-1.8860002E-3,79.999998212E-3,
,,,-1.8840001E-3,79.999998212E-3,,,,,-1.8840001E-3,0.0,
,,,-1.8820001E-3,0.0,,,,,-1.8820001E-3,79.999998212E-3,
,,,-1.8800001E-3,0.0,,,,,-1.8800001E-3,0.0,
,,,-1.8780002E-3,0.0,,,,,-1.8780002E-3,79.999998212E-3,
,,,-1.8760002E-3,0.0,,,,,-1.8760002E-3,79.999998212E-3,
,,,-1.8740002E-3,0.0,,,,,-1.8740002E-3,0.0,
,,,-1.8720002E-3,0.0,,,,,-1.8720002E-3,79.999998212E-3,
